label,predict
"Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum. Jede Verwendung, insbesondere die Weitergabe, Vervielfältigung, Veröffentlichung und Zurverfügungstellung bedarf unserer ausdrücklichen Zustimmung.","Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum: Jede Verwendung insbesondere die Weitergabe, Vervielfältigung; Veröffentlichung und Zurverfügungstellung bedarf unserer ausdrücklichen Zustimmung"
ACHSMAẞ = MAX. 400,ACHSMAß 'XVW 400
UK TRAGPROFIL,[
ALPAHTON - ZIEGELPLATTE,ALPHATON ZIEGELPLATTE
O-HALTER,O-HALTER
ACHSE,ACHSE
30,30
ALU-FENSTERBANK,ALU FENSTERBANK
10,10
40,5
30,30
PROFIL,PROFIL
TRAG-,TRAG-
BOHRSCHR.,BOHRSCHR.
5°,5
WÄRMEDÄMMUNG,WÄRMEDÄMMUNG
FESTPUNKT,FESTPUNKT
WANDHALTER,WANDHALTER
THERM.,THERM.
TRENNELEMENT,TRENNELEMENT
DÜBEL,DÜBEL
GEMÄẞ STATIK,GEMÄB STATIK .
NACH STATIK,NACH STATIK
Alu-Unterkonstruktion,Alu-Unterkonstruktion
Fensterbank,Fensterbank
aus Metall,1
2.7.3a M1:1 (V),2.7.3a 2
ALPHATON-Ziegelfassade,ALPHATON Ziegelfassade
Querformat- Ausführung,1
17.05.2012,"17,05.2012"
AL-DH-35,AL-DH-35
